ancine_id,distributor_movies_exhibited,distributor_origin
B1201547400000,5,collaboration
E1600171600000,104,national
E1600563800000,191,national
B1301877200000,3,national
E1600186400000,9,national
B1301805800000,1,national
E1500855500000,104,national
B1301751900000,11,national
E1500255600000,104,national
B1301852900000,54,national
B1201666700000,137,national
E1500841300000,33,national
E1600160200000,191,national
E1402641100000,137,national
E1500627500000,191,national
E1500100400000,83,national
B1301846600000,54,national
E1500803400000,135,national
E1600233800000,10,national
E1500298300000,10,national
E1500412000000,208,national
E1500413500000,208,national
B1101405200000,1,national
B1201661300000,299,national
E1600189300000,223,international
B1302047400000,1,national
E1600172500000,299,national
E1500733600000,148,international
E1402380400000,299,national
B1301971700000,299,national
B1201614400000,35,national
E1500412300000,208,national
E1600134100000,148,international
E1500873200000,137,national
E1500490200000,299,national
E1500842900000,33,national
E1600179600000,10,national
E1600160800000,10,national
E1500411400000,208,national
E1402518300000,75,international
E1500523700000,83,national
E1600190400000,104,national
E1600186500000,137,national
E1600161000000,61,national
E1500411800000,208,national
E1500411900000,208,national
B1301761800000,3,national
B1201604900000,26,national
E1600188500000,191,national
E1500667700000,299,national
E1600102600000,104,national
E1600188700000,28,national
E1600160300000,191,national
E1500423800000,208,national
E1500541100000,33,national
B1301759600000,5,national
B1301738800000,3,national
E1402516300000,92,international
E1600628300000,10,national
E1600233600000,10,national
E1600160700000,4,national
E1500680800000,148,international
B1301712400000,26,national
E1402668400000,75,international
E1500592800000,148,international
B1101473600000,54,national
E1500452600000,148,international
B1302035000000,9,national
E1600178900000,104,national
E1500491500000,299,national
E1600149500000,49,international
E1500911100000,299,national
E1500788200000,137,national
E1500490300000,299,national
E1600218900000,13,national
E1600233100000,10,national
E1500410000000,208,national
B1301899900000,1,national
B1301739100000,104,national
E1500410300000,208,national
E1500499000000,299,national
E1500577100000,129,international
B1301815500000,49,international
E1600102400000,104,national
E1600160500000,299,national
E1600145300000,223,international
B1301812000000,2,national
E1500490800000,223,international
B1301910300000,208,national
E1600191600000,4,national
E1500725000000,10,national
B1201671000000,1,national
E1600234600000,10,national
B1301984500000,39,national
B1201647900000,9,national
E1600556300000,61,national
E1500259100000,129,international
E1500892600000,75,international
B1201660900000,83,national
E1500842100000,33,national
E1500410800000,208,national
E1600232200000,10,national
E1600178800000,299,national
E1600158900000,4,national
B1201622100000,137,national
B1101527400000,6,national
B1301794500000,137,national
B1201590900000,25,national
B1302000200000,9,national
B1201660700000,1,national
B1301990000000,1,national
E1600161300000,299,national
E1600190900000,4,national
E1600177200000,104,national
E1500782300000,223,international
E1600172200000,299,national
E1600161200000,299,national
E1500701000000,49,international
E1600191500000,191,national
E1600563000000,208,national
E1600159700000,83,national
E1600170700000,223,international
B1301927900000,54,national
B1201686600000,54,national
B1201682700000,1,national
E1500107000000,208,national
B1301760500000,2,national
E1600232900000,10,national
E1402596100000,148,international
E1500839500000,223,international
B1301968400000,2,national
E1500841500000,33,national
B1201704900000,39,national
E1500835900000,223,international
E1500927600000,148,international
E1600133000000,191,national
B1201574300000,208,national
E1600159400000,61,national
B1301924200000,54,national
E1402442200000,104,national
B1302008300000,54,national
E1500285300000,39,national
E1500499400000,299,national
E1600149300000,129,international
B1301803100000,8,national
E1500842700000,33,national
E1500761100000,223,international
E1600134300000,104,national
E1600140300000,191,national
B1301783300000,1,national
E1500412500000,208,national
B1301983400000,3,national
B1201696900000,208,national
E1402714200000,135,national
B1201603300000,25,national
E1500499200000,299,national
B1402090800000,1,national
E1600149600000,54,national
B1301755800000,26,national
E1402516600000,75,international
E1500836000000,223,international
E1600234500000,191,national
B1301795000000,6,collaboration
E1500095600000,129,international
E1402644700000,75,international
B1301945700000,26,national
E1500843800000,33,national
B1301904700000,3,national
E1500620500000,148,international
B1201582200000,9,national
E1500692600000,49,international
E1600589300000,26,national
E1600389600000,135,national
E1500412900000,208,national
E1600140900000,9,national
E1600161100000,191,national
E1500097000000,129,international
E1600159300000,61,national
E1500259200000,129,international
E1402578900000,75,international
E1402520100000,75,international
E1500349000000,135,national
E1500624200000,191,national
B1201703500000,9,national
E1600137500000,10,national
E1500499600000,299,national
B1301731400000,1,national
E1600141200000,13,national
B1201583500000,1,national
E1600145400000,92,international
E1600179500000,104,national
E1600137400000,2,national
E1600148800000,54,national
B1201652800000,54,national
E1600161500000,148,international
E1500411000000,208,national
E1500600000000,104,national
B1201671900000,1,national
E1500523800000,10,national
E1600140800000,191,national
E1500499800000,299,national
B1302026800000,1,national
E1402579300000,92,international
B1201659100000,3,national
B1301835500000,1,national
B1301940000000,208,national
E1500491100000,9,national
B0901022000000,1,national
E1402520000000,92,international
E1500936000000,191,national
B1301940300000,9,national
B1301743100000,299,national
B1301808100000,9,national
E1600140200000,191,national
B1301864200000,148,international
B1301873000000,39,national
E1600149100000,9,national
B1201672800000,1,national
B1201709400000,299,national
B1101483900000,1,national
E1600172100000,61,national
B1101491600000,35,national
B1201659800000,54,national
B1201677000000,3,national
B1301906100000,54,national
B1101490600000,54,national
E1600171500000,135,national
E1600179100000,39,national
E1500839800000,223,international
B1301760600000,1,national
E1600144600000,191,national
B1201693000000,1,national
E1500106300000,208,national
E1600159100000,49,international
B1301837200000,9,national
E1600144900000,148,international
B1201626900000,1,national
E1600190100000,191,national
E1500325200000,61,national
B1301887000000,28,national
E1600172400000,299,national
E1600190800000,61,national
E1500165000000,129,international
E1500100000000,129,international
E1500258900000,129,international
E1600557400000,135,national
E1500523900000,33,national
B1301898100000,83,national
E1600171900000,191,national
E1600159500000,191,national
E1500841600000,33,national
E1500171800000,83,national
E1600188600000,191,national
E1600229100000,10,national
B1101445400000,104,national
B1301806500000,2,national
E1600234800000,10,national
B1201636000000,28,national
E1600186700000,137,national
E1402707400000,135,national
B1301816900000,39,national
E1600189900000,104,national
B1201698500000,54,national
E1500500000000,299,national
B1301930900000,9,national
E1500782600000,191,national
E1600189000000,191,national
E1600188400000,135,national
E1600229000000,10,national
E1600149200000,137,national
E1402546900000,75,international
E1402516400000,92,international
E1600188300000,83,national
B1301781700000,49,international
B1101505000000,1,national
E1600140700000,223,international
E1500616800000,191,national
E1600026800000,299,national
E1500588700000,148,international
E1500410200000,208,national
E1500620600000,148,international
E1600149000000,191,national
E1402516200000,92,international
E1500547000000,10,national
E1500839200000,223,international
E1600228900000,191,national
E1600191100000,49,international
E1600129600000,299,national
B1301824300000,2,national
E1500413200000,208,national
E1500652700000,39,national
E1600191300000,191,national
B1301740400000,1,national
E1500425000000,208,national
E1500410100000,208,national
E1500676900000,148,international
E1600178700000,104,national
B1301772600000,299,national
B1301936500000,24,national
B1301803700000,137,national
E1600140100000,2,national
B1201652700000,2,national
B1301743300000,1,national
E1500541300000,33,national
E1402624700000,92,international
E1402520300000,92,international
B1301784200000,39,national
B1101519300000,13,national
B1301823200000,1,national
E1500652800000,10,national
E1600233000000,191,national
E1500379800000,148,international
E1600160900000,10,national
B1301925900000,1,national
B1101493300000,1,national
B1101438100000,26,national
E1500411100000,208,national
E1600139900000,191,national
E1500434600000,104,national
E1600177300000,104,national
E1600621600000,9,national
E1600161600000,129,international
B1302007900000,1,national
B1301963900000,137,national
B1301898000000,54,national
E1500576500000,129,international
B1301917000000,49,international
B1201698400000,4,national
E1500676800000,148,international
E1500498800000,299,national
E1500619600000,75,international
E1500413300000,208,national
B1301969600000,129,international
B1301836900000,2,national
E1600190000000,191,national
E1600623600000,13,national
E1600186300000,135,national
B1301776900000,13,national
E1500513100000,299,national
B1201682600000,28,national
E1600144700000,223,international
B1301888400000,1,national
E1500524500000,33,national
B1301773400000,1,collaboration
B1301808000000,26,national
B1101521000000,28,national
E1600120700000,223,international
B1201639800000,39,national
B1301712200000,1,collaboration
E1500065400000,299,national
E1402825400000,137,national
B1301947600000,299,national
E1600664400000,10,national
E1500842600000,33,national
E1600160600000,104,national
E1500522000000,299,national
E1500692500000,49,international
E1500781600000,92,international
E1600190700000,83,national
E1500411300000,208,national
B1301981200000,28,national
B1101372000000,20,national
E1600145600000,83,national
E1600189100000,299,national
E1500616700000,191,national
E1500383300000,148,international
E1402435300000,191,national
E1402396500000,208,national
E1402752100000,299,national
E1500522100000,299,national
E1600177100000,135,national
E1600159800000,191,national
E1500411200000,208,national
E1600132700000,191,national
E1500842800000,33,national
E1600139700000,13,national
E1500452500000,148,international
E1500841900000,33,national
B1201580500000,83,national
E1500762300000,92,international
E1600159900000,35,national
E1402606300000,92,international
E1600146000000,13,national
E1600159600000,49,international
B1301733000000,208,national
B1301979600000,104,national
E1402488400000,92,international
B1301769500000,8,national
E1500715900000,299,national
E1402668000000,75,international
E1500282900000,148,international
E1500522200000,299,national
B1201667800000,1,national
E1500522300000,299,national
E1402440000000,78,international
B1402089200000,10,national
E1402414300000,130,national
E1402441600000,130,national
E1500110200000,166,international
E1600129700000,70,national
E1600137200000,28,national
E1402795100000,78,international
B1402098200000,1,national
E1402766600000,130,national
B1301869200000,29,national
E1402308800000,180,international
E1500409900000,246,national
E1402769300000,234,national
B1302020900000,5,national
E1500706900000,99,national
E1500546800000,24,national
E1402823000000,234,national
E1402552800000,360,national
B1402149200000,30,national
B1402217800000,66,national
E1600119100000,22,national
E1402302700000,234,national
E1402627600000,246,national
E1500409800000,246,national
E1500844400000,64,national
E1500738800000,180,international
E1600133500000,70,national
E1402642300000,99,national
B1402723400000,30,national
B1301910400000,66,national
B1402070900000,1,national
E1500635500000,360,national
B1302034700000,30,national
B1301902100000,174,national
E1402379500000,246,national
B1402145600000,25,national
E1600113700000,22,national
E1600132900000,166,international
E1402552700000,360,national
B1402081900000,30,national
E1402794900000,78,international
B1301944100000,29,national
E1500046300000,246,national
E1402445100000,234,national
E1500565800000,360,national
B1402080700000,360,national
B1201629200000,10,national
E1500528500000,234,national
E1402417100000,22,national
E1402445300000,234,national
E1402674000000,244,international
E1500094100000,166,international
E1500667800000,360,national
E1600113000000,24,national
B1301732600000,174,national
E1500009200000,27,national
B1402480200000,10,national
E1402380000000,27,national
E1500735300000,180,international
B1402521900000,246,national
E1402637100000,246,national
E1500669000000,360,national
E1402550400000,85,international
E1500616600000,234,national
B1301874500000,1,national
E1402489400000,85,international
E1500668000000,360,national
B1301880900000,76,national
E1402337700000,78,international
E1600070500000,6,national
E1600070000000,6,national
E1600070600000,6,national
E1500706800000,99,national
E1500673600000,360,national
B1402117800000,2,national
E1500844600000,64,national
B1402300400000,246,national
E1600133100000,174,national
E1402379100000,103,international
B1402203900000,66,national
E1500184300000,78,international
E1402436400000,180,international
E1600113100000,70,national
E1600130000000,180,international
E1402390300000,234,national
E1402820700000,78,international
B1402141800000,76,national
B1402148600000,30,national
E1500880200000,27,national
E1600230400000,246,national
E1402441000000,103,international
E1500734400000,180,international
B1301902700000,30,national
B1301999100000,244,international
B1402145700000,180,international
B1302055400000,22,national
E1500844100000,64,national
E1600137600000,28,national
B1101349700000,29,national
E1402505700000,174,national
B1402172000000,66,national
E1600133600000,78,international
E1402425800000,246,national
E1500090200000,246,national
B1402183000000,3,national
E1600112700000,4,national
E1402640000000,234,national
B1402150700000,10,national
B1402161500000,66,national
E1402379600000,103,international
E1600129200000,244,international
B1302036500000,76,national
E1500623300000,27,national
B1301938500000,1,national
B1201696800000,5,national
B1402086200000,30,national
B1301935400000,360,national
E1600106500000,99,national
E1500842500000,64,national
B1402593100000,1,national
B1301763500000,10,national
E1500197000000,24,national
E1500147300000,180,international
E1500010700000,180,international
E1500841400000,64,national
E1500432400000,360,national
E1402415700000,147,national
E1500922200000,78,international
E1600120200000,234,national
E1402601500000,130,national
B1101402500000,42,national
E1402836900000,180,international
B1302053000000,42,national
B1402159100000,7,national
E1500131100000,360,national
E1500258800000,166,international
E1600134800000,130,national
E1500676400000,99,national
E1402418300000,78,international
E1600227400000,6,national
E1600119300000,14,national
B1402146400000,2,national
E1402325900000,27,national
E1402324100000,85,international
E1500402600000,39,national
B1402094700000,76,national
E1402389500000,85,international
E1600114700000,14,national
E1402706800000,14,national
E1402377800000,27,national
B1402269700000,66,national
E1402380500000,11,national
E1600118800000,6,national
E1402600300000,147,national
E1500666600000,360,national
E1402631100000,234,national
B1302053700000,66,national
E1500065300000,360,national
E1402450800000,166,international
B1402406800000,30,national
B1402233800000,30,national
E1402650600000,5,national
B1101366000000,29,national
E1402743700000,166,international
E1402696900000,1,national
B1301938400000,174,national
B1402107400000,10,national
E1402432300000,234,national
E1600157900000,42,national
B1402115000000,246,national
B1402176400000,2,national
E1402743500000,166,international
E1600228300000,27,national
E1402672400000,147,national
E1600161400000,39,national
E1500410700000,246,national
B1301810400000,28,national
B1402243500000,1,national
B1302057500000,2,national
E1402315000000,360,national
E1402856200000,244,international
E1600113800000,174,national
E1600069900000,28,national
E1402324200000,103,international
E1600120000000,360,national
B1402543500000,22,national
E1402627700000,246,national
E1600079200000,1,national
E1500120000000,78,international
B1402126100000,15,national
E1600607500000,66,national
E1402596300000,180,international
E1500806400000,234,national
B1402261200000,10,national
B1001288800000,174,national
B1201544500000,2,national
E1500045200000,246,national
E1600108000000,70,national
E1402435900000,22,national
E1500546500000,24,national
B1302041800000,22,national
E1500844700000,64,national
E1402385800000,24,national
E1402514300000,66,national
B1302050600000,30,national
E1402641600000,180,international
B1402380600000,30,national
E1600119000000,246,national
E1600111100000,130,national
B1402201100000,244,international
E1600144800000,244,international
E1402820800000,78,international
E1500381600000,130,national
E1402444100000,130,national
E1402743600000,166,international
E1402744600000,166,international
E1402510400000,85,international
E1402544000000,14,national
E1402429000000,147,national
E1402378600000,27,national
E1600108200000,174,national
E1402433000000,246,national
E1500651100000,39,national
B1402260600000,30,national
B1402192100000,99,national
E1500669300000,360,national
E1402358700000,244,international
E1402461600000,28,national
E1500673700000,360,national
E1402782200000,64,national
E1402445200000,234,national
E1500194000000,234,national
E1402414500000,147,national
E1600117500000,244,international
E1500401800000,174,national
E1600119900000,42,national
E1402397700000,27,national
E1402432700000,246,national
E1500325300000,70,national
E1600120100000,234,national
E1500119000000,180,international
B1301996600000,360,national
E1600135100000,130,national
E1600120300000,180,international
E1402451000000,166,international
B1402214200000,66,national
E1500046200000,246,national
E1500009100000,27,national
E1600106400000,78,international
E1500146700000,166,international
B1301926100000,246,national
E1500825300000,234,national
E1500432500000,360,national
E1402786400000,246,national
E1500528900000,234,national
B1301989000000,66,national
B1402175100000,30,national
E1500090300000,246,national
B1402139200000,66,national
E1500670400000,360,national
E1600114400000,130,national
E1600114900000,66,national
E1402674700000,244,international
E1600133200000,2,national
E1500365400000,147,national
B1402245600000,66,national
B1402693700000,5,national
E1500410400000,246,national
E1600110900000,28,national
E1500681800000,99,national
B1402682900000,1,national
E1500054700000,234,national
B1302060500000,76,national
E1500091700000,78,international
E1402436300000,85,international
B1402155300000,66,national
E1402623500000,103,international
B1402192700000,360,national
E1402373000000,244,international
B1402271000000,246,national
B1402150900000,76,national
E1600117700000,174,national
B1402137200000,30,national
E1402602700000,130,national
E1402642100000,78,international
E1500651300000,39,national
E1402447100000,22,national
B1402118500000,28,national
E1500045500000,234,national
E1500670000000,360,national
B1001167100000,4,national
E1500844500000,64,national
E1500844000000,64,national
E1600120400000,234,national
E1402397400000,180,international
E1500661700000,39,national
E1402436500000,246,national
E1500670300000,360,national
B1402146300000,130,national
E1500843900000,64,national
E1600113900000,130,national
B1302031600000,76,national
E1500432300000,360,national
E1402513400000,6,national
E1500168800000,166,international
E1402303500000,4,national
E1402691100000,85,international
E1500251900000,166,international
B1301939800000,2,national
E1402667700000,180,international
B1402186400000,1,national
B1402269500000,166,international
B1302034400000,130,national
B1201628900000,22,national
E1600129100000,244,international
E1600148700000,22,national
E1600106800000,70,national
B1402106900000,78,international
E1402424400000,360,national
E1500873300000,174,national
E1402673400000,166,international
E1402642500000,234,national
E1600107800000,234,national
B1402173200000,66,national
B1301754000000,1,national
E1500009500000,27,national
B1402151100000,2,national
E1402856300000,180,international
E1402397600000,244,international
E1402433300000,246,national
E1600112400000,234,national
B1302014400000,1,national
E1500566800000,360,national
B1402285000000,1,national
B1402202200000,30,national
B1402635200000,39,national
B1402178100000,2,national
E1500410500000,246,national
E1402693400000,76,national
B1402168700000,99,national
B1402280500000,30,national
E1600119200000,78,international
E1500844200000,64,national
E1500445500000,147,national
E1402445700000,27,national
E1402417200000,85,international
E1600129500000,244,international
B1402294200000,103,international
B1402332500000,180,international
E1600107200000,174,national
E1500411500000,246,national
E1402650700000,85,international
E1500617100000,147,national
E1500261900000,28,national
E1600106700000,24,national
E1500259000000,166,international
E1600119400000,14,national
E1402596200000,22,national
E1500667600000,360,national
E1500074900000,147,national
E1500178000000,166,international
B1402065100000,3,national
E1500842400000,64,national
E1600112800000,99,national
E1500711200000,99,national
E1600112500000,130,national
E1402601200000,130,national
E1402362500000,22,national
E1402451400000,130,national
B1402449000000,1,national
E1402363700000,24,national
E1600112600000,28,national
E1402543900000,130,national
E1600110500000,4,national
B1402265700000,76,national
B1402156100000,22,national
E1500050700000,234,national
B1402241100000,246,national
E1600119800000,14,national
E1500054100000,130,national
E1600111000000,78,international
E1500635600000,360,national
E1500711100000,99,national
E1500578100000,24,national
E1402421500000,103,international
E1402821000000,64,national
E1402444600000,78,international
E1402826800000,166,international
E1500054300000,180,international
E1600114800000,234,national
B1500311000000,52,national
E1500485800000,262,international
E1500112900000,49,national
E1402714400000,112,national
E1500212300000,55,national
E1500640300000,445,national
B1500723200000,8,national
E1500620700000,112,national
E1500347600000,17,national
E1500720000000,131,international
B1402159000000,1,national
E1500086600000,282,national
E1500485900000,131,international
E1500302100000,49,national
E1500399600000,282,national
E1402626800000,262,international
E1500311500000,131,international
B1500554400000,52,national
E1500234500000,228,international
B1402125800000,112,national
E1500622700000,445,national
B1500591500000,40,national
E1500366900000,196,international
E1500403500000,75,national
B1402133800000,8,national
B1201643000000,8,national
E1500742700000,27,national
E1500133800000,49,national
B1402730900000,3,national
E1500375500000,199,national
E1500904100000,445,national
E1402787200000,49,national
B1500105700000,109,national
E1500627300000,166,national
E1500901000000,166,national
E1500627400000,158,national
E1500918500000,7,national
E1500121900000,282,national
E1402505800000,131,international
E1500809900000,199,national
E1500485500000,262,international
B1500265900000,18,national
B1402781000000,109,national
E1500485700000,131,international
E1402767400000,166,national
E1402548600000,445,national
E1600140400000,7,national
E1500584000000,196,international
E1500116000000,4,national
B1001197000000,27,national
E1500813800000,228,international
E1500617000000,282,national
E1500716200000,131,international
E1402548200000,445,national
E1500640200000,445,national
B1402446800000,4,national
E1500626100000,1,national
E1500702700000,50,national
B1402543600000,1,national
E1402627100000,262,international
E1402767700000,166,national
E1600010300000,43,national
B1402089600000,8,national
B1500713000000,2,national
E1500344700000,282,national
E1500069600000,8,national
E1500800700000,166,national
E1500806100000,44,national
E1500717600000,131,international
B1402219600000,1,national
B1500904200000,52,national
E1500662800000,93,international
B1500451800000,1,national
B1500801000000,1,national
B1500276200000,445,national
E1500772500000,91,national
E1500036600000,17,national
E1600070100000,17,national
E1600070400000,17,national
E1600070200000,17,national
E1600070300000,17,national
E1500803600000,1,national
E1500270800000,282,national
B1402718400000,1,national
E1500486000000,166,national
B1402710300000,109,national
E1500254600000,196,international
E1402548300000,445,national
B1500840400000,272,national
E1402566700000,44,national
B1500712100000,18,national
E1500325000000,2,national
E1402766900000,228,international
E1500587700000,445,national
E1402756400000,93,international
B1402653000000,109,national
E1402377500000,228,international
E1500073800000,228,international
E1500305300000,166,national
E1500224000000,27,national
B1500340300000,109,national
B1500315900000,4,national
E1402545300000,115,international
B1402391100000,44,national
E1402765300000,445,national
E1500628900000,166,national
B1500453100000,52,national
B1402131600000,1,national
E1500844300000,97,national
B1500018400000,31,national
B1402144900000,3,national
B1402259600000,1,national
E1500132700000,262,international
B1001208900000,1,national
B1500777500000,262,international
B1402144800000,5,national
E1500387500000,228,international
E1500085600000,115,international
E1402627400000,131,international
B1500743500000,4,national
E1500163300000,97,national
E1500239800000,50,national
E1500662700000,93,international
B1500399800000,3,national
E1402627000000,262,international
E1500187800000,166,national
E1500245200000,282,national
E1500396700000,49,national
B1500671700000,18,national
E1500577300000,55,national
B1402209700000,445,national
E1402806300000,272,national
B1402082600000,91,national
B1500344400000,272,national
E1500752900000,166,national
E1500558200000,445,national
B1500335800000,52,national
E1500351400000,115,international
E1500100200000,166,national
E1500836300000,445,national
B1402480100000,5,national
E1402314400000,445,national
E1500700500000,44,national
E1500099800000,166,national
E1500173500000,44,national
E1500387600000,228,international
B1500422800000,4,national
E1402625400000,55,national
E1500697000000,50,national
E1402717000000,445,national
B1402117400000,1,national
B1500818400000,445,national
E1402836800000,55,national
E1500306200000,55,national
E1500366800000,196,international
B1500558500000,112,national
B1500183700000,272,national
B1402246600000,1,national
E1500558300000,445,national
B1302013600000,18,national
E1500825600000,27,national
E1500484700000,131,international
E1500185400000,49,national
E1500531100000,158,national
E1500404100000,93,international
B1101456300000,39,national
E1500447500000,445,national
E1500493100000,196,international
B1500186700000,4,national
E1402767300000,166,national
E1402566800000,262,international
E1500099000000,55,national
E1500348100000,17,national
E1500348000000,17,national
E1500708200000,445,national
E1402513200000,445,national
E1500360900000,55,national
E1402547900000,445,national
E1500220000000,131,international
E1402747300000,196,international
E1500485600000,262,international
E1500656800000,158,national
E1500015800000,282,national
E1402550000000,50,national
B1402202100000,1,national
B1402218500000,3,national
E1402548700000,4,national
B1500543600000,1,national
E1500708900000,91,national
B1402195100000,39,national
E1500617300000,228,international
B1301899200000,109,national
E1500434100000,272,national
E1500406600000,115,international
E1500334400000,49,national
E1500485400000,262,international
B1301730400000,39,national
B1500585700000,8,national
E1500477700000,3,national
B1402378700000,3,national
B1402071500000,199,national
E1402627200000,131,international
B1201663300000,3,national
E1500725100000,272,national
E1402806000000,109,national
E1500174200000,158,national
B1500575600000,29,national
E1500558000000,445,national
E1500198600000,272,national
E1500672400000,282,national
E1500390500000,27,national
E1500311700000,131,international
E1500073500000,228,international
E1402548000000,445,national
E1402763500000,10,national
E1500772800000,55,national
E1500558100000,445,national
E1402433100000,445,national
B1500543200000,228,international
E1402767100000,228,international
B1500224200000,8,national
B1402704900000,52,national
E1500589200000,445,national
E1500268700000,282,national
E1500310700000,91,national
E1500846400000,49,national
E1500254700000,196,international
E1500367600000,196,international
E1500814300000,228,international
E1402302900000,282,national
E1500065500000,91,national
E1500176700000,7,national
E1500617400000,228,international
B1402475600000,4,national
B1402250900000,1,national
B1500257500000,112,national
E1500011100000,1,national
B1500437700000,52,national
E1500069800000,8,national
B1201696600000,52,national
E1500753000000,166,national
E1500376900000,166,national
E1500311600000,131,international
E1402447200000,282,national
E1500198500000,445,national
E1500406500000,93,international
E1500741300000,109,national
E1500015700000,282,national
B1402201200000,52,national
B1402825200000,52,national
E1500691500000,49,national
E1500481900000,166,national
E1500142100000,272,national
E1500445600000,91,national
E1500022900000,27,national
B1500543700000,112,national
E1402739400000,196,international
B1101348800000,39,national
E1500511800000,49,national
E1500103300000,196,international
E1402825900000,10,national
E1402763600000,10,national
E1402805900000,7,national
E1500567800000,97,national
E1402747600000,196,international
E1402760300000,8,national
B1402391600000,52,national
E1500086500000,282,national
E1500748700000,27,national
E1500395700000,97,national
E1402513300000,445,national
E1500796900000,228,international
E1500622900000,445,national
E1500377100000,166,national
E1500245300000,282,national
E1500173300000,10,national
E1500247800000,196,international
B1500177000000,1,national
E1402714500000,112,national
E1500313400000,55,national
B1500193000000,196,international
E1402380300000,55,national
E1500254800000,228,international
B1402667500000,3,national
B1301987400000,8,national
E1500242400000,282,national
E1500161000000,131,international
B1500149400000,2,national
E1500212900000,55,national
E1500287700000,44,national
E1402769500000,272,national
E1402629800000,49,national
E1402765400000,445,national
E1500751300000,282,national
E1500340900000,282,national
E1500583300000,75,national
E1500306800000,55,national
E1500817500000,158,national
E1500241500000,55,national
E1500729900000,166,national
B1301872000000,3,national
E1402769900000,445,national
E1500567600000,445,national
E1402767500000,166,national
E1500132800000,131,international
E1500347700000,17,national
B1301871900000,3,national
E1402767600000,166,national
E1500672300000,282,national
B1402197800000,109,national
B1500768500000,4,national
E1402548100000,445,national
B1402689400000,1,national
E1500652900000,44,national
B1402156500000,109,national
E1500626200000,49,national
E1500689000000,199,national
B130174300000,43,national
B1500701300000,52,national
B1500868700000,199,national
B1500448600000,1,national
B1500672000000,27,national
E1500617800000,228,international
E1500640100000,445,national
B1402275800000,8,national
E1500241600000,55,national
E1500150600000,228,international
B1402108000000,1,national
B1302041500000,445,national
B1500823700000,1,national
B1402408400000,1,national
E1500709000000,97,national
E1500477800000,3,national
E1500798400000,4,national
E1500752700000,166,national
E1500245400000,282,national
E1500113000000,49,national
E1500398700000,8,national
E1500459000000,10,national
E1500636800000,445,national
B1402089400000,8,national
E1402358200000,445,national
B1301942700000,39,national
B1500592000000,1,national
E1500734800000,8,national
E1500732900000,282,national
B1500339400000,52,national
E1500617500000,228,international
B1402122500000,109,national
B1500189400000,109,national
E1500684400000,196,international
B1500689300000,91,national
E1500311800000,262,international
E1500234600000,228,international
B1500138300000,52,national
E1500617600000,228,international
E1500242500000,282,national
B1500309900000,52,national
E1500163400000,97,national
E1500423000000,228,international
E1500743300000,1,national
B1301916500000,109,national
B1500585100000,199,national
E1500462700000,112,national
E1500850600000,97,national
E1500299900000,282,national
B1402719200000,18,national
E1500736500000,44,national
E1500122000000,282,national
E1500459300000,10,national
E1500398300000,445,national
E1500484600000,262,international
B1301943500000,39,national
E1500043800000,166,national
E1500466400000,17,national
B1402131500000,199,national
E1500186800000,10,national
E1500650300000,55,national
B1500778300000,1,collaboration
E1500752800000,166,national
E1500377200000,166,national
B1500740900000,1,national
B1402237400000,445,national
B1402133100000,199,national
E1402566600000,44,national
E1500376800000,166,national
E1500058100000,115,international
E1402473300000,31,national
E1500740600000,282,national
E1500278400000,272,national
E1500307000000,55,national
E1500324900000,131,international
E1500490400000,282,national
E1402627500000,272,national
E1402739100000,196,international
E1500261700000,228,international
E1500482300000,44,national
E1500434800000,262,international
B1500014400000,31,national
E1500019600000,199,national
E1500738500000,115,international
E1500674900000,131,international
E1500219200000,49,national
B1500091200000,131,international
B1500071300000,18,national
E1500829300000,445,national
E1500451000000,131,international
E1500105300000,158,national
B1500290200000,1,national
E1500682900000,50,national
E1500363400000,196,international
B1500388000000,2,national
E1500281700000,158,national
E1402568600000,50,national
E1402547800000,445,national
E1402823700000,115,international
B1500855000000,1,national
E1500277300000,115,international
E1500187100000,10,national
E1500772600000,55,national
E1500690800000,166,national
E1500198700000,272,national
B1402215300000,8,national
B1500150200000,228,international
B1402277500000,23,national
B1500218600000,3,national
E1500268600000,55,national
B1402326200000,5,national
E1500069100000,8,national
E1402826000000,10,national
E1500146900000,31,national
E1500113100000,55,national
E1500278300000,272,national
E1500398800000,8,national
E1500015900000,282,national
E1500493200000,196,international
B1402229600000,1,national
E1500187900000,228,international
E1500147400000,228,international
E1500447600000,445,national
B1500654500000,31,national
B1301949900000,1,national
E1500161300000,131,international
E1402739300000,196,international
E1500821400000,228,international
E1500636900000,445,national
E1500563200000,115,international
E1500352700000,49,national
E1500729400000,166,national
E1500574000000,166,national
E1500482000000,158,national
E1500147500000,262,international
E1500170200000,8,national
E1500422200000,7,national
B1402831700000,1,national
E1600733800000,164,international
E1500921300000,109,international
E1600539500000,88,national
B1600603300000,2,national
B1600422600000,3,national
E1500729000000,297,international
E1500825900000,27,national
E1600077500000,519,national
B1500400500000,7,national
E1500787100000,164,international
E1700028800000,297,international
E1600279200000,199,national
E1600054800000,519,national
E1600279000000,199,national
B1402372600000,1,national
E1600651300000,519,national
E1600182700000,257,international
E1600009500000,314,national
B1600109600000,74,national
E1500922300000,121,national
E1500729100000,164,international
E1600316100000,171,national
E1600501000000,164,international
E1500835100000,109,international
E1600350200000,314,national
E1600337500000,164,international
E1600170600000,13,national
E1600251800000,225,international
E1402548900000,519,national
